case,category,variant,trial,passed,latency_ms,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd,grade,error
slug,coding,baseline,1,true,38880,149765,110848,1200,150965,,all postconditions passed,
slug,coding,verify-first,1,true,36561,169836,152832,1241,171077,,all postconditions passed,
priorities,coding,baseline,1,true,33651,147120,109440,1194,148314,,all postconditions passed,
priorities,coding,verify-first,1,true,41009,205264,172416,1243,206507,,all postconditions passed,
mentions,coding,baseline,1,true,34821,148880,138240,1304,150184,,all postconditions passed,
mentions,coding,verify-first,1,true,49964,238057,210944,2039,240096,,all postconditions passed,
revision-patch,coding,baseline,1,true,36079,149908,138880,1228,151136,,all postconditions passed,
revision-patch,coding,verify-first,1,true,39462,173173,152320,1288,174461,,all postconditions passed,
workflow,coding,baseline,1,true,61040,221568,209024,2486,224054,,all postconditions passed,
workflow,coding,verify-first,1,true,46168,151214,136320,1699,152913,,all postconditions passed,
retry-delay,coding,baseline,1,true,47106,131378,116480,1843,133221,,all postconditions passed,
retry-delay,coding,verify-first,1,true,46360,154393,142208,1861,156254,,all postconditions passed,
dependency-order,coding,baseline,1,true,43489,149097,123008,1466,150563,,all postconditions passed,
dependency-order,coding,verify-first,1,true,40856,172063,154496,1600,173663,,all postconditions passed,
calendar-span,coding,baseline,1,true,39906,152980,135296,1249,154229,,all postconditions passed,
calendar-span,coding,verify-first,1,true,84138,149975,126848,1311,151286,,all postconditions passed,
read-context,task-manager,baseline,1,true,12516,60123,39296,141,60264,,all postconditions passed,
read-context,task-manager,verify-first,1,true,8866,60286,52096,133,60419,,all postconditions passed,
attach-pr,task-manager,baseline,1,false,18354,103481,88064,415,103896,,"expected one saved link, got 0",
attach-pr,task-manager,verify-first,1,false,24269,124319,114816,588,124907,,"expected one saved link, got 0",
attach-branch,task-manager,baseline,1,false,17580,72288,49152,330,72618,,"expected one saved link, got 0",
attach-branch,task-manager,verify-first,1,false,21668,125151,109312,525,125676,,"expected one saved link, got 0",
deduplicate-link,task-manager,baseline,1,false,21212,104220,88576,514,104734,,"expected one saved link, got 0",
deduplicate-link,task-manager,verify-first,1,false,25448,125356,115584,769,126125,,"expected one saved link, got 0",
